,Date,LocationNo,SalesFloorSize,total_Income,total_IncomePerSqFt,total_PurchasesCash,total_PurchasesOther,total_CostOfGoodsSold,total_GrossProfit,total_GrossProfitPerSqFt,total_NetIncomeLoss
68,2009-01-01,00074,11081,175800.0,15.864994,29876.0,21044.0,41425.0,134375.0,12.126613,44840.0
69,2009-01-01,00075,6268,139039.0,22.182354,25743.0,10307.0,44074.0,94965.0,15.150765,15552.0
70,2009-01-01,00076,9200,116515.0,12.664673,16661.0,10418.0,59625.0,56890.0,6.183695,-7294.0
71,2009-01-01,00077,6925,97484.0,14.077111,14538.0,8821.0,36292.0,61192.0,8.836389,889.0
72,2009-01-01,00078,6103,92332.0,15.128952,23025.0,8567.0,28404.0,63928.0,10.474848,8879.0
73,2009-01-01,00080,6501,121084.0,18.625442,25679.0,11426.0,57495.0,63589.0,9.781418,-12537.0
74,2009-01-01,00081,8268,198137.0,23.96432,30622.0,13961.0,103564.0,94573.0,11.438437,3495.0
75,2009-01-01,00082,6178,123537.0,19.996277,26853.0,10587.0,51559.0,71978.0,11.650696,-10833.0
76,2009-01-01,00083,8687,146310.0,16.842408,27234.0,10842.0,27336.0,118974.0,13.695637,37377.0
77,2009-01-01,00084,10789,122724.0,11.374918,20815.0,11336.0,26322.0,96402.0,8.935211,31295.0
78,2009-01-01,00085,8390,197797.0,23.575327,33885.0,12425.0,52916.0,144881.0,17.268295,39774.0
79,2009-01-01,00086,7470,129477.0,17.332931,25603.0,9705.0,40992.0,88485.0,11.845381,13846.0
80,2009-01-01,00087,8161,126520.0,15.503002,24445.0,13123.0,54016.0,72504.0,8.884205,-1939.0
81,2009-01-01,00088,7940,171671.0,21.621032,35815.0,12294.0,100812.0,70859.0,8.924307,-28954.0
82,2009-01-01,00090,9901,105013.0,10.606302,24308.0,12199.0,46538.0,58475.0,5.905969,-12222.0
83,2009-01-01,00091,6072,106714.0,17.574769,25276.0,11339.0,43770.0,62944.0,10.366271,-9980.0
84,2009-01-01,00094,5551,104804.0,18.880201,23819.0,12016.0,39330.0,65474.0,11.794991,-1820.0
85,2009-01-01,00095,7360,120479.0,16.369429,20836.0,18752.0,57963.0,62516.0,8.494021,-8056.0
86,2009-01-01,00096,6222,115083.0,18.496142,22001.0,8735.0,33519.0,81564.0,13.108968,10836.0
87,2009-01-01,00097,8127,105784.0,13.016365,23898.0,11180.0,75289.0,30495.0,3.752307,-45549.0
88,2009-01-01,00098,7381,118775.0,16.091992,27150.0,15134.0,44005.0,74770.0,10.130063,523.0
89,2009-01-01,00099,8003,134779.0,16.841059,29677.0,11900.0,8528.0,126251.0,15.775459,49358.0
90,2009-01-01,00100,6861,108766.0,15.852791,22644.0,8921.0,149493.0,-40727.0,-5.936015,-106111.0
91,2009-01-01,00102,6140,0.0,0.0,0.0,7958.0,890.0,-890.0,-0.144951,-54701.0
92,2009-01-01,00103,6175,0.0,0.0,814.0,511.0,1.0,-1.0,-0.000161,-17037.0
93,2009-01-01,00104,8161,0.0,0.0,784.0,15674.0,749.0,-749.0,-0.091777,-18477.0
94,2009-02-01,00001,40396,683798.0,16.927369,100402.0,57349.0,191059.0,492739.0,12.197717,110494.0
95,2009-02-01,00002,8161,133217.0,16.323612,19677.0,13056.0,42888.0,90329.0,11.068373,8083.0
96,2009-02-01,00003,8183,200692.0,24.525479,29548.0,19914.0,62730.0,137962.0,16.859586,36543.0
97,2009-02-01,00004,6688,107420.0,16.061602,15265.0,16648.0,37924.0,69496.0,10.391148,-2677.0
98,2009-02-01,00005,16239,293105.0,18.049448,26625.0,29774.0,89821.0,203284.0,12.518258,36498.0
99,2009-02-01,00006,6589,107274.0,16.28077,16401.0,17529.0,37684.0,69590.0,10.561541,427.0
100,2009-02-01,00007,7563,140068.0,18.520163,17863.0,13840.0,43891.0,96177.0,12.716779,21108.0
101,2009-02-01,00008,8077,186426.0,23.081094,28931.0,17255.0,55516.0,130910.0,16.20775,35745.0
102,2009-02-01,00009,7218,154317.0,21.379467,20927.0,23159.0,50732.0,103585.0,14.350928,6759.0
103,2009-02-01,00010,4948,89030.0,17.993128,9710.0,14472.0,30683.0,58347.0,11.792037,2533.0
104,2009-02-01,00011,6652,188511.0,28.338995,29021.0,28586.0,62997.0,125514.0,18.86861,22002.0
105,2009-02-01,00012,7806,153180.0,19.623366,20509.0,16002.0,44897.0,108283.0,13.871765,20868.0
106,2009-02-01,00013,6659,172580.0,25.916804,31358.0,21232.0,62733.0,109847.0,16.49602,7507.0
107,2009-02-01,00014,5936,101592.0,17.114555,18899.0,5869.0,37205.0,64387.0,10.846866,-2654.0
108,2009-02-01,00015,9276,192911.0,20.796787,24894.0,23904.0,58162.0,134749.0,14.526627,25990.0
109,2009-02-01,00016,7025,90726.0,12.914733,14365.0,14734.0,35890.0,54836.0,7.805836,-15157.0
110,2009-02-01,00017,8176,237236.0,29.016144,36127.0,22926.0,67281.0,169955.0,20.787059,45650.0
111,2009-02-01,00018,7977,197617.0,24.773348,26544.0,20391.0,55680.0,141937.0,17.79328,37649.0
112,2009-02-01,00019,5677,125963.0,22.188303,22651.0,15637.0,47352.0,78611.0,13.847278,5418.0
113,2009-02-01,00020,8966,173333.0,19.332255,26111.0,31988.0,69686.0,103647.0,11.560004,-1663.0
114,2009-02-01,00021,8329,121541.0,14.592508,16161.0,17704.0,44610.0,76931.0,9.236522,4802.0
115,2009-02-01,00022,6026,182778.0,30.331563,25041.0,24195.0,57995.0,124783.0,20.707434,6747.0
116,2009-02-01,00023,3919,135924.0,34.683337,24476.0,16883.0,48582.0,87342.0,22.286807,4472.0
117,2009-02-01,00024,6673,155660.0,23.326839,24713.0,23513.0,54296.0,101364.0,15.190169,9544.0
118,2009-02-01,00025,6742,145866.0,21.635419,17171.0,20123.0,46879.0,98987.0,14.682141,12836.0
119,2009-02-01,00026,5248,210264.0,40.065548,37256.0,21739.0,73659.0,136605.0,26.029916,28049.0
120,2009-02-01,00029,6351,172650.0,27.184695,23097.0,21302.0,59645.0,113005.0,17.79326,9606.0
121,2009-02-01,00030,7046,159073.0,22.576355,25298.0,23211.0,55853.0,103220.0,14.649446,18838.0
122,2009-02-01,00031,7971,215793.0,27.072261,29801.0,22356.0,61074.0,154719.0,19.410237,48878.0
123,2009-02-01,00032,6372,122223.0,19.181261,20067.0,17200.0,45212.0,77011.0,12.085844,-324.0
124,2009-02-01,00033,8448,181850.0,21.525804,26697.0,20723.0,56275.0,125575.0,14.864464,25485.0
125,2009-02-01,00034,6875,212222.0,30.868654,33648.0,21639.0,68305.0,143917.0,20.933381,30977.0
126,2009-02-01,00035,7588,161799.0,21.32301,24504.0,11938.0,52041.0,109758.0,14.464681,17333.0
127,2009-02-01,00036,7452,122710.0,16.46672,19504.0,14772.0,42703.0,80007.0,10.736312,5684.0
128,2009-02-01,00037,6602,126886.0,19.219327,17456.0,19105.0,42495.0,84391.0,12.782641,-6426.0
129,2009-02-01,00038,6850,187313.0,27.344963,31206.0,22119.0,60821.0,126492.0,18.465985,23019.0
130,2009-02-01,00039,7007,184302.0,26.302554,29343.0,18538.0,55417.0,128885.0,18.393749,24724.0
131,2009-02-01,00040,6663,164985.0,24.761368,25472.0,22324.0,57696.0,107289.0,16.102206,18471.0
132,2009-02-01,00041,6351,126007.0,19.840497,16976.0,8385.0,42385.0,83622.0,13.166745,8289.0
133,2009-02-01,00043,7085,131257.0,18.52604,16861.0,15905.0,44343.0,86914.0,12.267325,2376.0
134,2009-02-01,00044,7173,73995.0,10.315767,14176.0,20448.0,28051.0,45944.0,6.40513,-42863.0
135,2009-02-01,00045,8970,180666.0,20.141137,26750.0,28654.0,63497.0,117169.0,13.062318,11795.0
136,2009-02-01,00046,7059,112290.0,15.907352,14428.0,11262.0,39400.0,72890.0,10.325825,-15402.0
137,2009-02-01,00047,9874,204771.0,20.738403,28661.0,28992.0,70325.0,134446.0,13.616163,6554.0
138,2009-02-01,00048,4043,143255.0,35.432846,26945.0,15889.0,50415.0,92840.0,22.963146,2772.0
139,2009-02-01,00049,5182,136383.0,26.318602,16271.0,13514.0,43024.0,93359.0,18.016016,23804.0
140,2009-02-01,00050,6806,111508.0,16.383779,15265.0,18096.0,42194.0,69314.0,10.184249,-5203.0
141,2009-02-01,00051,7571,180923.0,23.896843,30782.0,11253.0,61901.0,119022.0,15.720776,18944.0
142,2009-02-01,00052,8161,159939.0,19.597965,22357.0,26026.0,59424.0,100515.0,12.316505,285.0
143,2009-02-01,00053,4879,138089.0,28.302725,31219.0,13639.0,45705.0,92384.0,18.935027,18446.0
144,2009-02-01,00054,5349,111733.0,20.888577,19876.0,12724.0,37086.0,74647.0,13.955318,-4701.0
145,2009-02-01,00055,6869,112451.0,16.370796,20521.0,12587.0,37772.0,74679.0,10.871888,-5815.0
146,2009-02-01,00056,12780,162256.0,12.696087,23319.0,24971.0,56997.0,105259.0,8.236228,6810.0
147,2009-02-01,00057,7081,143531.0,20.269877,18455.0,15016.0,42031.0,101500.0,14.334133,20149.0
148,2009-02-01,00058,7588,199908.0,26.345282,33624.0,22124.0,60281.0,139627.0,18.401027,28571.0
149,2009-02-01,00059,7960,149508.0,18.782412,22358.0,15000.0,45151.0,104357.0,13.110175,21510.0
150,2009-02-01,00061,7715,111653.0,14.472197,21286.0,22789.0,49694.0,61959.0,8.030978,-6904.0
151,2009-02-01,00062,5327,99165.0,18.615543,17871.0,16959.0,37935.0,61230.0,11.494274,-7748.0
152,2009-02-01,00064,7194,164315.0,22.840561,26373.0,20412.0,58604.0,105711.0,14.694328,14058.0
153,2009-02-01,00065,8782,167903.0,19.118993,22833.0,17503.0,51259.0,116644.0,13.282168,28170.0
154,2009-02-01,00066,5776,107431.0,18.599549,17686.0,18600.0,42775.0,64656.0,11.193905,-5933.0
155,2009-02-01,00067,6729,134080.0,19.925694,20648.0,15312.0,45369.0,88711.0,13.183385,2018.0
156,2009-02-01,00068,7025,141930.0,20.203558,20084.0,14012.0,44336.0,97594.0,13.892384,13975.0
157,2009-02-01,00069,8469,156533.0,18.483055,19010.0,15256.0,46040.0,110493.0,13.046758,23767.0
158,2009-02-01,00070,7894,148291.0,18.785279,27635.0,19737.0,50436.0,97855.0,12.396123,23216.0
159,2009-02-01,00071,5415,145797.0,26.924653,26966.0,19498.0,54826.0,90971.0,16.799815,552.0
160,2009-02-01,00072,5460,105928.0,19.400732,14398.0,15019.0,34186.0,71742.0,13.13956,4462.0
161,2009-02-01,00073,6443,112991.0,17.537016,20514.0,16622.0,43764.0,69227.0,10.744528,2656.0
162,2009-02-01,00074,11081,150865.0,13.614745,21504.0,20061.0,52812.0,98053.0,8.84875,13772.0
163,2009-02-01,00075,6268,129247.0,20.620134,21540.0,13017.0,41207.0,88040.0,14.045947,12988.0
164,2009-02-01,00076,9200,102571.0,11.149021,15081.0,16370.0,37461.0,65110.0,7.077173,3735.0
165,2009-02-01,00077,6925,97497.0,14.078989,14553.0,15615.0,34917.0,62580.0,9.036823,-3699.0
166,2009-02-01,00078,6103,80449.0,13.181877,14755.0,14944.0,34752.0,45697.0,7.487629,-10630.0
