2018-08-17 00:00:00,  [1, 23, 13, 20.333333333333336]
2018-08-18 00:00:00,  [1, 23, 13, 21.333333333333336]
2018-08-19 00:00:00,  [1, 23, 13, 22.333333333333336]
2018-08-20 00:00:00,  [1, 23, 13, 23.333333333333336]
2018-08-21 00:00:00,  [1, 23, 13, 24.333333333333336]
2018-08-22 00:00:00,  [1, 23, 13, 25.333333333333336]
2018-08-23 00:00:00,  [1, 23, 13, 26.333333333333336]
2018-08-24 00:00:00,  [1, 23, 13, 27.333333333333336]
2018-08-25 00:00:00,  [1, 23, 13, 16]
2018-08-26 00:00:00,  [1, 23, 13, 16]
2018-08-27 00:00:00,  [1, 23, 13, 16]
2018-08-28 00:00:00,  [1, 23, 13, 16]
2018-08-29 00:00:00,  [1, 23, 13, 16]
2018-08-30 00:00:00,  [1, 23, 13, 16]
2018-08-31 00:00:00,  [1, 23, 13, 16]
2018-09-01 00:00:00,  [1, 23, 13, 16]
2018-09-02 00:00:00,  [1, 23, 13, 16]
2018-09-03 00:00:00,  [1, 23, 13, 16]
2018-09-04 00:00:00,  [1, 23, 13, 16]
2018-09-05 00:00:00,  [1, 23, 13, 16]
2018-09-06 00:00:00,  [1, 23, 13, 16]
2018-09-07 00:00:00,  [1, 23, 13, 16]
2018-09-08 00:00:00,  [1, 23, 13, 16]
2018-09-09 00:00:00,  [1, 23, 13, 16]
2018-09-10 00:00:00,  [1, 23, 13, 16]
2018-09-11 00:00:00,  [1, 23, 13, 16]
2018-09-12 00:00:00,  [1, 23, 13, 16]
2018-09-13 00:00:00,  [1, 23, 13, 16]
2018-09-14 00:00:00,  [1, 23, 13, 16]
2018-09-15 00:00:00,  [1, 23, 13, 16]
2018-09-16 00:00:00,  [1, 23, 13, 16]
2018-09-17 00:00:00,  [1, 23, 13, 16]
2018-09-18 00:00:00,  [1, 23, 13, 16]
2018-09-19 00:00:00,  [1, 23, 13, 16]
2018-09-20 00:00:00,  [1, 23, 13, 16]
2018-09-21 00:00:00,  [1, 23, 13, 16]
2018-09-22 00:00:00,  [1, 23, 13, 16]
2018-09-23 00:00:00,  [1, 23, 13, 16]
2018-09-24 00:00:00,  [1, 23, 13, 16]
2018-09-25 00:00:00,  [1, 23, 13, 16]
2018-09-26 00:00:00,  [1, 23, 13, 16]
2018-09-27 00:00:00,  [1, 23, 13, 16]
2018-09-28 00:00:00,  [1, 23, 13, 16]
2018-09-29 00:00:00,  [1, 23, 13, 16]
2018-09-30 00:00:00,  [1, 23, 13, 16]
2018-10-01 00:00:00,  [1, 23, 13, 16]
2018-10-02 00:00:00,  [1, 23, 13, 16]
2018-10-03 00:00:00,  [1, 23, 13, 16]
2018-10-04 00:00:00,  [1, 23, 13, 16]
2018-10-05 00:00:00,  [1, 23, 13, 16]
2018-10-06 00:00:00,  [1, 23, 13, 16]
2018-10-07 00:00:00,  [1, 23, 13, 16]
2018-10-08 00:00:00,  [1, 23, 13, 16]
2018-10-09 00:00:00,  [1, 23, 13, 16]
2018-10-10 00:00:00,  [1, 23, 13, 16]
2018-10-11 00:00:00,  [1, 23, 13, 16]
2018-10-12 00:00:00,  [1, 23, 13, 16]
2018-10-13 00:00:00,  [1, 23, 13, 16]
2018-10-14 00:00:00,  [1, 23, 13, 16]
2018-10-15 00:00:00,  [1, 23, 13, 16]
2018-10-16 00:00:00,  [1, 23, 13, 16]
2018-10-17 00:00:00,  [1, 23, 13, 16]
2018-10-18 00:00:00,  [1, 23, 13, 16]
2018-10-19 00:00:00,  [1, 23, 13, 16]
2018-10-20 00:00:00,  [1, 23, 13, 16]
2018-10-21 00:00:00,  [1, 23, 13, 16]
2018-10-22 00:00:00,  [1, 23, 13, 16]
2018-10-23 00:00:00,  [1, 23, 13, 16]
2018-10-24 00:00:00,  [1, 23, 13, 16]
2018-10-25 00:00:00,  [1, 23, 13, 16]
2018-10-26 00:00:00,  [1, 23, 13, 16]
2018-10-27 00:00:00,  [1, 23, 13, 16]
2018-10-28 00:00:00,  [1, 23, 13, 16]
2018-10-29 00:00:00,  [1, 23, 13, 16]
2018-10-30 00:00:00,  [1, 23, 13, 16]
2018-10-31 00:00:00,  [1, 23, 13, 16]
2018-11-01 00:00:00,  [1, 23, 13, 16]
2018-11-02 00:00:00,  [1, 23, 13, 16]
2018-11-03 00:00:00,  [1, 23, 13, 16]
2018-11-04 00:00:00,  [1, 23, 13, 16, 13.25]
2018-11-05 00:00:00,  [1, 23, 13, 16, 14.25]
2018-11-06 00:00:00,  [1, 23, 13, 16, 15.25]
2018-11-07 00:00:00,  [1, 23, 13, 16, 16.25]
2018-11-08 00:00:00,  [1, 23, 13, 16, 17.25]
2018-11-09 00:00:00,  [1, 23, 13, 16, 18.25]
2018-11-10 00:00:00,  [1, 23, 13, 16, 19.25]
2018-11-11 00:00:00,  [1, 23, 13, 16, 20.25]
2018-11-12 00:00:00,  [1, 23, 13, 16, 21.25]
2018-11-13 00:00:00,  [1, 23, 13, 16, 22.25]
2018-11-14 00:00:00,  [1, 23, 13, 16, 23.25]
2018-11-15 00:00:00,  [1, 23, 13, 16, 24.25]
2018-11-16 00:00:00,  [1, 23, 13, 16, 25.25]
2018-11-17 00:00:00,  [1, 23, 13, 16, 26.25]
2018-11-18 00:00:00,  [1, 23, 13, 16, 27.25]
2018-11-19 00:00:00,  [1, 23, 13, 16, 28.25]
2018-11-20 00:00:00,  [1, 23, 13, 16, 29.25]
2018-11-21 00:00:00,  [1, 23, 13, 16, 30.25]
2018-11-22 00:00:00,  [1, 23, 13, 16, 31.25]
2018-11-23 00:00:00,  [1, 23, 13, 16, 32.25]
2018-11-24 00:00:00,  [1, 23, 13, 16, 33.25]
2018-11-25 00:00:00,  [1, 23, 13, 16, 34.25]
2018-11-26 00:00:00,  [1, 23, 13, 16, 35.25]
2018-11-27 00:00:00,  [1, 23, 13, 16, 36.25]
2018-11-28 00:00:00,  [1, 23, 13, 16, 37.25]
2018-11-29 00:00:00,  [1, 23, 13, 16, 38.25]
2018-11-30 00:00:00,  [1, 23, 13, 16, 39.25]
2018-12-01 00:00:00,  [1, 23, 13, 16, 40.25]
2018-12-02 00:00:00,  [1, 23, 13, 16, 41.25]
2018-12-03 00:00:00,  [1, 23, 13, 16, 42.25]
2018-12-04 00:00:00,  [1, 23, 13, 16, 43.25]
2018-12-05 00:00:00,  [1, 23, 13, 16, 44.25]
2018-12-06 00:00:00,  [1, 23, 13, 16, 45.25]
2018-12-07 00:00:00,  [1, 23, 13, 16, 46.25]
2018-12-08 00:00:00,  [1, 23, 13, 16, 47.25]
2018-12-09 00:00:00,  [1, 23, 13, 16, 48.25]
2018-12-10 00:00:00,  [1, 23, 13, 16, 49.25]
2018-12-11 00:00:00,  [1, 23, 13, 16, 50.25]
2018-12-12 00:00:00,  [1, 23, 13, 16, 51.25]
2018-12-13 00:00:00,  [1, 23, 13, 16, 52.25]
2018-12-14 00:00:00,  [1, 23, 13, 16, 53.25]
2018-12-15 00:00:00,  [1, 23, 13, 16, 41]
2018-12-16 00:00:00,  [1, 23, 13, 16, 41]
2018-12-17 00:00:00,  [1, 23, 13, 16, 41]
2018-12-18 00:00:00,  [1, 23, 13, 16, 41]
2018-12-19 00:00:00,  [1, 23, 13, 16, 41]
2018-12-20 00:00:00,  [1, 23, 13, 16, 41]
2018-12-21 00:00:00,  [1, 23, 13, 16, 41]
2018-12-22 00:00:00,  [1, 23, 13, 16, 41]
2018-12-23 00:00:00,  [1, 23, 13, 16, 41]
2018-12-24 00:00:00,  [1, 23, 13, 16, 41]
2018-12-25 00:00:00,  [1, 23, 13, 16, 41]
2018-12-26 00:00:00,  [1, 23, 13, 16, 41]
2018-12-27 00:00:00,  [1, 23, 13, 16, 41]
2018-12-28 00:00:00,  [1, 23, 13, 16, 41]
2018-12-29 00:00:00,  [1, 23, 13, 16, 41]
2018-12-30 00:00:00,  [1, 23, 13, 16, 41]
2018-12-31 00:00:00,  [1, 23, 13, 16, 41]
2019-01-01 00:00:00,  [1, 23, 13, 16, 41]
2019-01-02 00:00:00,  [1, 23, 13, 16, 41]
2019-01-03 00:00:00,  [1, 23, 13, 16, 41]
2019-01-04 00:00:00,  [1, 23, 13, 16, 41]
2019-01-05 00:00:00,  [1, 23, 13, 16, 41]
2019-01-06 00:00:00,  [1, 23, 13, 16, 41]
2019-01-07 00:00:00,  [1, 23, 13, 16, 41]
2019-01-08 00:00:00,  [1, 23, 13, 16, 41]
2019-01-09 00:00:00,  [1, 23, 13, 16, 41]
2019-01-10 00:00:00,  [1, 23, 13, 16, 41]
2019-01-11 00:00:00,  [1, 23, 13, 16, 41]
2019-01-12 00:00:00,  [1, 23, 13, 16, 41]
2019-01-13 00:00:00,  [1, 23, 13, 16, 41]
2019-01-14 00:00:00,  [1, 23, 13, 16, 41]
2019-01-15 00:00:00,  [1, 23, 13, 16, 41]
2019-01-16 00:00:00,  [1, 23, 13, 16, 41]
2019-01-17 00:00:00,  [1, 23, 13, 16, 41]
2019-01-18 00:00:00,  [1, 23, 13, 16, 41]
2019-01-19 00:00:00,  [1, 23, 13, 16, 41]
2019-01-20 00:00:00,  [1, 23, 13, 16, 41]
2019-01-21 00:00:00,  [1, 23, 13, 16, 41]
2019-01-22 00:00:00,  [1, 23, 13, 16, 41]
2019-01-23 00:00:00,  [1, 23, 13, 16, 41]
2019-01-24 00:00:00,  [1, 23, 13, 16, 41]
2019-01-25 00:00:00,  [1, 23, 13, 16, 41]
2019-01-26 00:00:00,  [1, 23, 13, 16, 41]
2019-01-27 00:00:00,  [1, 23, 13, 16, 41]
2019-01-28 00:00:00,  [1, 23, 13, 16, 41, 18.8]
2019-01-29 00:00:00,  [1, 23, 13, 16, 41, 19.8]
2019-01-30 00:00:00,  [1, 23, 13, 16, 41, 2]
